strategy,param,seed,total_reward,final_reward
softmax,2.0,9,16.0,1.0
softmax,2.0,10,15.0,1.0
softmax,2.0,11,10.0,1.0
softmax,2.0,12,12.0,1.0
softmax,2.0,13,11.0,1.0
softmax,2.0,14,8.0,1.0
softmax,2.0,15,7.0,1.0
softmax,2.0,16,12.0,1.0
softmax,2.0,17,13.0,1.0
softmax,2.0,18,15.0,1.0
softmax,2.0,19,8.0,1.0
thompson,0.5,0,3941.0,1.0
thompson,0.5,1,3335.0,1.0
thompson,0.5,2,3833.0,1.0
thompson,0.5,3,3977.0,1.0
thompson,0.5,4,3225.0,1.0
thompson,0.5,5,3676.0,1.0
thompson,0.5,6,3678.0,1.0
thompson,0.5,7,3584.0,1.0
thompson,0.5,8,3428.0,1.0
thompson,0.5,9,3757.0,1.0
thompson,0.5,10,3600.0,1.0
thompson,0.5,11,4117.0,1.0
thompson,0.5,12,3634.0,1.0
thompson,0.5,13,3662.0,1.0
thompson,0.5,14,3828.0,1.0
thompson,0.5,15,3853.0,1.0
thompson,0.5,16,3712.0,1.0
thompson,0.5,17,3410.0,1.0
thompson,0.5,18,3866.0,1.0
thompson,0.5,19,3720.0,1.0
thompson,1.0,0,3843.0,1.0
thompson,1.0,1,3306.0,1.0
thompson,1.0,2,3736.0,1.0
thompson,1.0,3,3921.0,1.0
thompson,1.0,4,3099.0,1.0
thompson,1.0,5,3554.0,1.0
thompson,1.0,6,3487.0,1.0
thompson,1.0,7,3488.0,1.0
thompson,1.0,8,3384.0,1.0
thompson,1.0,9,3643.0,1.0
thompson,1.0,10,3442.0,1.0
thompson,1.0,11,4035.0,1.0
thompson,1.0,12,3472.0,1.0
thompson,1.0,13,3593.0,1.0
thompson,1.0,14,3691.0,1.0
thompson,1.0,15,3761.0,1.0
thompson,1.0,16,3615.0,1.0
thompson,1.0,17,3255.0,1.0
thompson,1.0,18,3762.0,1.0
thompson,1.0,19,3533.0,1.0
thompson,2.0,0,3680.0,1.0
thompson,2.0,1,3162.0,1.0
thompson,2.0,2,3621.0,1.0
thompson,2.0,3,3795.0,1.0
thompson,2.0,4,2931.0,1.0
thompson,2.0,5,3406.0,1.0
thompson,2.0,6,3340.0,1.0
thompson,2.0,7,3343.0,1.0
thompson,2.0,8,3281.0,1.0
thompson,2.0,9,3510.0,1.0
